Date,Volume,Turnover,Open,High,Low,Close,Change,Trades,Daily_Return,Log_Return,MA20,MA60,Volatility20,Volume_MA20,Volume_Ratio,Return_Outlier,Regime
2025-06-02,40608468.0,38643155297.0,958.0,961.0,946.0,946.0,-21.0,125245.0,-0.02171664943123064,-0.021955926401416078,965.4,935.75,0.23688584054432363,34716414.8,1.169719518387596,False,MA20 >= MA60
2025-06-03,27482916.0,26302041072.0,960.0,965.0,950.0,950.0,4.0,43550.0,0.0042283298097252064,0.0042194155427082896,966.0,934.5833333333334,0.23258262721080036,33264754.15,0.8261872574218319,False,MA20 >= MA60
2025-06-04,43196396.0,42419360833.0,974.0,990.0,970.0,990.0,40.0,73539.0,0.042105263157894646,0.041242958534049,969.5,934.3333333333334,0.26274371464477525,33256638.55,1.2988804005268295,True,MA20 >= MA60
2025-06-05,27047750.0,26936792104.0,1000.0,1000.0,991.0,998.0,8.0,51309.0,0.008080808080808133,0.008048333182828415,973.0,934.2166666666667,0.2626008498032827,32657946.3,0.8282134385161873,False,MA20 >= MA60
2025-06-06,18797346.0,18688985614.0,997.0,997.0,991.0,995.0,-3.0,27283.0,-0.0030060120240480437,-0.003010539152871152,976.85,934.1666666666666,0.2583053908632946,32058914.2,0.5863375747142429,False,MA20 >= MA60
2025-06-09,23952041.0,24100014375.0,1005.0,1010.0,1000.0,1005.0,10.0,56903.0,0.01005025125628145,0.010000083334583399,979.65,934.7333333333333,0.23490575318512444,31212579.75,0.7673842146931158,False,MA20 >= MA60
2025-06-10,55353908.0,57406744645.0,1025.0,1050.0,1020.0,1045.0,40.0,138656.0,0.03980099502487566,0.03902934390573529,984.05,935.6833333333333,0.26855436564566515,32696851.7,1.692943054820168,False,MA20 >= MA60
2025-06-11,46137188.0,48960267029.0,1065.0,1070.0,1055.0,1065.0,20.0,75830.0,0.019138755980861344,0.018957913744614207,988.85,937.35,0.2721584257087605,32455685.0,1.4215441146905388,False,MA20 >= MA60
2025-06-12,28661875.0,30064888046.0,1055.0,1060.0,1045.0,1045.0,0.0,40293.0,-0.018779342723004744,-0.01895791374461416,991.15,938.7833333333333,0.26612490915039827,31135695.2,0.9205471345955365,False,MA20 >= MA60
2025-06-13,31371948.0,32434779823.0,1040.0,1040.0,1025.0,1030.0,-15.0,40938.0,-0.014354066985645897,-0.014458083175229888,993.0,939.7833333333333,0.27121713943918146,31278382.0,1.0029913951431375,False,MA20 >= MA60
2025-06-16,31257555.0,31982385770.0,1030.0,1030.0,1015.0,1025.0,-5.0,38583.0,-0.004854368932038833,-0.004866189651172899,994.35,940.6833333333333,0.27200435815274987,31937293.5,0.9787164651256375,False,MA20 >= MA60
2025-06-17,30890431.0,32183667155.0,1040.0,1050.0,1035.0,1045.0,20.0,30757.0,0.019512195121951237,0.019324272826402842,997.4,942.2333333333333,0.2727071161326667,32384970.8,0.9538508214433838,False,MA20 >= MA60
2025-06-18,41740374.0,43722320684.0,1040.0,1055.0,1030.0,1055.0,10.0,45620.0,0.009569377990430672,0.009523881511255541,1001.25,943.4,0.27132745570515754,33256100.1,1.255119327716962,False,MA20 >= MA60
2025-06-19,25354905.0,26287507815.0,1045.0,1045.0,1030.0,1035.0,-20.0,31893.0,-0.018957345971563955,-0.019139340210697395,1003.5,944.45,0.2810695367915,33139971.45,0.7650853000357669,False,MA20 >= MA60
2025-06-20,67241164.0,70461692958.0,1030.0,1055.0,1025.0,1055.0,20.0,33114.0,0.019323671497584627,0.019139340210697506,1007.15,945.8333333333334,0.2843659128831292,35518458.8,1.893132930643939,False,MA20 >= MA60
2025-06-23,33543038.0,34292190910.0,1025.0,1030.0,1015.0,1020.0,-35.0,56849.0,-0.033175355450236976,-0.033738139631850114,1008.95,946.3333333333334,0.3131770913944107,36008404.1,0.9315335916261837,False,MA20 >= MA60
2025-06-24,30105394.0,31487543196.0,1045.0,1050.0,1040.0,1050.0,30.0,33323.0,0.02941176470588225,0.028987536873252187,1012.65,947.5,0.32522023115484394,36468333.95,0.8255215069949747,False,MA20 >= MA60
2025-06-25,44519173.0,47370306720.0,1060.0,1070.0,1055.0,1070.0,20.0,75075.0,0.01904761904761898,0.018868484304382736,1017.9,949.3666666666667,0.3243183546583633,37202098.8,1.1966844462011914,False,MA20 >= MA60
2025-06-26,39534708.0,42448279645.0,1075.0,1080.0,1065.0,1075.0,5.0,50326.0,0.004672897196261738,0.004662013105811371,1023.3,951.4166666666666,0.32409844668689014,37582343.4,1.0519489851715846,False,MA20 >= MA60
